bairro,logradouro,n_transacoes,rs_m2_mediana
CHACARA PEDRAS,Rua COMENDADOR CREIDY,4,6888
CHACARA PEDRAS,Rua DR BARBOSA GONCALVES,36,7266
CHACARA PEDRAS,Rua DR ERNESTO LUDWIG,13,3994
CHACARA PEDRAS,Rua DR JORGE FAYET,11,6737
CHACARA PEDRAS,Rua DR PRUDENTE DE MORAES,6,4081
CHACARA PEDRAS,Rua DR RODRIGUES ALVES,14,3882
CHACARA PEDRAS,Rua ESTACIO DE SA,19,6554
CHACARA PEDRAS,Rua GEN FRANCISCO DE PAULA CIDADE,23,7261
CHACARA PEDRAS,Rua GERMANO GUNDLACH,3,7660
CHACARA PEDRAS,Rua GUSTAVO SCHMIDT,3,6187
CHACARA PEDRAS,Rua JOAO BERUTTI,10,4289
CHACARA PEDRAS,Rua JOAO PAETZEL,25,5893
CHACARA PEDRAS,Rua LICINIO CARDOSO,4,8491
CHACARA PEDRAS,Rua LUIZ VOELCKER,3,6190
CHACARA PEDRAS,Rua MATIAS JOSE BINS,21,4380
CHACARA PEDRAS,Rua MIRACEMA,18,4899
CHACARA PEDRAS,Rua MOEMA,21,4971
CHACARA PEDRAS,Rua MONTE ALVERNE,11,5293
CHACARA PEDRAS,Rua PROF ULISSES CABRAL,26,6031
CHAPEU DO SOL,Rua GENTIL CLAUDIONOR DE SOUZA LOPES,65,1671
CHAPEU DO SOL,Rua MARCELO DOS SANTOS,320,5970
CHAPEU DO SOL,Rua PEDRO RAIMUNDO,476,5970
CIDADE BAIXA,Avenida AURELIANO DE FIGUEIREDO PINTO,5,3891
CIDADE BAIXA,Avenida JOAO PESSOA,328,10783
CIDADE BAIXA,Avenida PRAIA DE BELAS,18,5584
CIDADE BAIXA,Avenida VENANCIO AIRES,25,4079
CIDADE BAIXA,PCA GARIBALDI,5,5335
CIDADE BAIXA,Pra̤a CONEGO MARCELINO,5,4872
CIDADE BAIXA,Pra̤a GARIBALDI,11,4000
CIDADE BAIXA,Rua ALBERTO TORRES,31,4614
CIDADE BAIXA,Rua BARONEZA DO GRAVATAI,61,5487
CIDADE BAIXA,Rua DA  REPUBLICA,427,10850
CIDADE BAIXA,Rua DECIO MARTINS COSTA,7,4141
CIDADE BAIXA,Rua GEN LIMA E SILVA,278,6066
CIDADE BAIXA,Rua JOAO ALFREDO,104,4911
